message,severity,attributes,tags,timestamp
Werkzeug appears to be used in a production deployment. Consider switching to a production web server instead.,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904378615Z
 * Debugger is active!,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904380875Z
 * Debugger PIN: 136-665-132,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:03.904383275Z
"100.64.0.2 - - [18/May/2026 13:16:06] ""POST /login HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:06.042456036Z
"100.64.0.2 - - [18/May/2026 13:16:06] ""GET /static/css/style.css HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:06.467607174Z
"100.64.0.2 - - [18/May/2026 13:16:07] ""GET /static/favicon.svg HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:07.052051712Z
"100.64.0.2 - - [18/May/2026 13:16:08] ""POST /login HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:08.161574974Z
"100.64.0.2 - - [18/May/2026 13:16:08] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:08.635461989Z
"100.64.0.2 - - [18/May/2026 13:16:25] ""[32mPOST /login HTTP/1.1[0m"" 302 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649576045Z
"100.64.0.2 - - [18/May/2026 13:16:25] ""GET /chat HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649588565Z
"100.64.0.2 - - [18/May/2026 13:16:26] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649594825Z
"100.64.0.2 - - [18/May/2026 13:16:26] ""GET /static/js/calls.js HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649600745Z
"100.64.0.2 - - [18/May/2026 13:16:26] ""GET /static/js/chat.js HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649771372Z
"100.64.0.2 - - [18/May/2026 13:16:26] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEn1- HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649776912Z
"100.64.0.3 - - [18/May/2026 13:16:27] ""GET /register HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649781662Z
/app/app.py:715: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649787802Z
  user.last_seen = datetime.utcnow(),error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649791712Z
"100.64.0.2 - - [18/May/2026 13:16:27] ""POST /socket.io/?EIO=4&transport=polling&t=PuxEn7r&sid=R1SQZrxfYrq9OGXkAAAA HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649796512Z
"100.64.0.2 - - [18/May/2026 13:16:27] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEn7r.0&sid=R1SQZrxfYrq9OGXkAAAA HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649800462Z
"100.64.0.2 - - [18/May/2026 13:16:28] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEnOk&sid=R1SQZrxfYrq9OGXkAAAA HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649804182Z
"100.64.0.2 - - [18/May/2026 13:16:28] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.649808961Z
"100.64.0.2 - - [18/May/2026 13:16:28] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEnUp&sid=R1SQZrxfYrq9OGXkAAAA HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.785925054Z
"100.64.0.2 - - [18/May/2026 13:16:28] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:28.785929974Z
"100.64.0.2 - - [18/May/2026 13:16:31] ""GET /profile/edit HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:31.297715044Z
/app/app.py:731: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:31.583796708Z
  user.last_seen = datetime.utcnow(),error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:31.583802038Z
"100.64.0.4 - - [18/May/2026 13:16:31] ""GET /socket.io/?EIO=4&transport=websocket&sid=R1SQZrxfYrq9OGXkAAAA HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:31.583805678Z
"100.64.0.2 - - [18/May/2026 13:16:31] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:31.815498290Z
"100.64.0.5 - - [18/May/2026 13:16:38] ""GET /chat HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:38.691389761Z
"100.64.0.5 - - [18/May/2026 13:16:39] ""GET /static/css/style.css HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:39.043362150Z
"100.64.0.5 - - [18/May/2026 13:16:39] ""GET /static/js/chat.js HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:39.178389506Z
"100.64.0.5 - - [18/May/2026 13:16:39] ""GET /static/js/calls.js HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:39.178394436Z
"100.64.0.5 - - [18/May/2026 13:16:39] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEq6f HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:39.766838723Z
"100.64.0.5 - - [18/May/2026 13:16:39] ""GET /static/favicon.svg HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:39.766842082Z
"100.64.0.5 - - [18/May/2026 13:16:40] ""POST /socket.io/?EIO=4&transport=polling&t=PuxEqCL&sid=ZHHxSMh7stuxFJwJAAAC HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:40.022754077Z
"100.64.0.5 - - [18/May/2026 13:16:40] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEqCM&sid=ZHHxSMh7stuxFJwJAAAC HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:40.022758477Z
"100.64.0.5 - - [18/May/2026 13:16:40] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEqI5&sid=ZHHxSMh7stuxFJwJAAAC HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:40.448899797Z
"100.64.0.5 - - [18/May/2026 13:16:40] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:40.448903057Z
"100.64.0.5 - - [18/May/2026 13:16:40] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEqNo&sid=ZHHxSMh7stuxFJwJAAAC HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:40.747897523Z
"100.64.0.5 - - [18/May/2026 13:16:40] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:40.747902583Z
"100.64.0.5 - - [18/May/2026 13:16:46] ""GET /api/search_users?q=уьщырлф HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:46.730753512Z
"100.64.0.5 - - [18/May/2026 13:16:47] ""GET /api/search_users?q=уьщырл HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:47.225671001Z
"100.64.0.5 - - [18/May/2026 13:16:49] ""GET /api/search_users?q=emoshka HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:49.448723814Z
